NAME,PARTIES
MARGIOTTA Salvatore,PARTITO DEMOCRATICO
MARIANI Raffaella,PARTITO DEMOCRATICO
MARINELLO Giuseppe Francesco Maria,POPOLO DELLA LIBERTA'
MARINI Cesare,PARTITO DEMOCRATICO
MARINI Giulio,POPOLO DELLA LIBERTA'
MARMO Roberto,POPOLO E TERRITORIO (NOI SUD-LIBERTA' ED AUTONOMIA; POPOLARI D'ITALIA DOMANI-PID; MOVIMENTO DI RESPONSABILITA' NAZIONALE-MRN; AZIONE POPOLARE; ALLEANZA DI CENTRO-ADC; INTESA POPOLARE)
MARONI Roberto,LEGA NORD PADANIA
MARROCU Siro,PARTITO DEMOCRATICO
MARSILIO Marco,POPOLO DELLA LIBERTA'
MARTELLA Andrea,PARTITO DEMOCRATICO
MARTINELLI Marco,POPOLO DELLA LIBERTA'
MARTINI Francesca,LEGA NORD PADANIA
MARTINO Antonio,POPOLO DELLA LIBERTA'
MARTINO Pierdomenico,PARTITO DEMOCRATICO
MASTROMAURO Margherita Angela,PARTITO DEMOCRATICO
MATTESINI Donella,PARTITO DEMOCRATICO
MAZZARELLA Eugenio,PARTITO DEMOCRATICO
MAZZOCCHI Antonio,POPOLO DELLA LIBERTA'
MAZZONI Riccardo,POPOLO DELLA LIBERTA'
MAZZUCA Giancarlo,POPOLO DELLA LIBERTA'
MECACCI Matteo,PARTITO DEMOCRATICO
MELANDRI Giovanna,PARTITO DEMOCRATICO
MELCHIORRE Daniela,MISTO
MELIS Guido,PARTITO DEMOCRATICO
MELONI Giorgia,POPOLO DELLA LIBERTA'
MENIA Roberto,FUTURO E LIBERTA' PER IL TERZO POLO
MEREU Antonio,UNIONE DI CENTRO PER IL TERZO POLO
MERLO Giorgio,PARTITO DEMOCRATICO
MERLO Ricardo Antonio,UNIONE DI CENTRO PER IL TERZO POLO
MERLONI Maria Paola,PARTITO DEMOCRATICO
MERONI Fabio,LEGA NORD PADANIA
MESSINA Ignazio,ITALIA DEI VALORI
META Michele Pompeo,PARTITO DEMOCRATICO
MICCICHE' Gianfranco,MISTO
MIGLIAVACCA Maurizio,PARTITO DEMOCRATICO
MIGLIOLI Ivano,PARTITO DEMOCRATICO
MIGLIORI Riccardo,POPOLO DELLA LIBERTA'
MILANATO Lorena,POPOLO DELLA LIBERTA'
MILANESE Marco Mario,POPOLO DELLA LIBERTA'
MILIA Sergio,UNIONE DI CENTRO
MILO Antonio,POPOLO E TERRITORIO (NOI SUD-LIBERTA' ED AUTONOMIA; POPOLARI D'ITALIA DOMANI-PID; MOVIMENTO DI RESPONSABILITA' NAZIONALE-MRN; AZIONE POPOLARE; ALLEANZA DI CENTRO-ADC; INTESA POPOLARE)
MINARDO Antonino,POPOLO DELLA LIBERTA'
MINASSO Eugenio,POPOLO DELLA LIBERTA'
MINNITI Marco,PARTITO DEMOCRATICO
MIOTTO Anna Margherita,PARTITO DEMOCRATICO
MISEROTTI Lino,MISTO
MISIANI Antonio,PARTITO DEMOCRATICO
MISITI Aurelio Salvatore,MISTO
MISTRELLO DESTRO Giustina,MISTO
MISURACA Dore,POPOLO DELLA LIBERTA'
MOFFA Silvano,POPOLO E TERRITORIO (NOI SUD-LIBERTA' ED AUTONOMIA; POPOLARI D'ITALIA DOMANI-PID; MOVIMENTO DI RESPONSABILITA' NAZIONALE-MRN; AZIONE POPOLARE; ALLEANZA DI CENTRO-ADC; INTESA POPOLARE)
MOGHERINI Federica,PARTITO DEMOCRATICO
MOLES Giuseppe,POPOLO DELLA LIBERTA'
MOLGORA Daniele,LEGA NORD PADANIA
MOLTENI Laura,LEGA NORD PADANIA
MOLTENI Nicola,LEGA NORD PADANIA
MONAI Carlo,ITALIA DEI VALORI
MONDELLO Gabriella,UNIONE DI CENTRO PER IL TERZO POLO
MONTAGNOLI Alessandro,LEGA NORD PADANIA
MORASSUT Roberto,PARTITO DEMOCRATICO
MORONI Chiara,FUTURO E LIBERTA' PER IL TERZO POLO
MOSCA Alessia Maria,PARTITO DEMOCRATICO
MOSELLA Donato Renato,MISTO
MOTTA Carmen,PARTITO DEMOCRATICO
MOTTOLA Giovanni Carlo Francesco,POPOLO E TERRITORIO (NOI SUD-LIBERTA' ED AUTONOMIA; POPOLARI D'ITALIA DOMANI-PID; MOVIMENTO DI RESPONSABILITA' NAZIONALE-MRN; AZIONE POPOLARE; ALLEANZA DI CENTRO-ADC; INTESA POPOLARE)
MUNERATO Emanuela,LEGA NORD PADANIA
MURA Silvana,ITALIA DEI VALORI
MURER Delia,PARTITO DEMOCRATICO
MURGIA Bruno,POPOLO DELLA LIBERTA'
MURO Luigi,FUTURO E LIBERTA' PER IL TERZO POLO
MUSCARDINI Cristiana,
MUSSOLINI Alessandra,POPOLO DELLA LIBERTA'
NACCARATO Alessandro,PARTITO DEMOCRATICO
NANNICINI Rolando,PARTITO DEMOCRATICO
NAPOLI Angela,MISTO
NAPOLI Osvaldo,POPOLO DELLA LIBERTA'
NARDUCCI Franco,PARTITO DEMOCRATICO
NARO Giuseppe,UNIONE DI CENTRO PER IL TERZO POLO
NASTRI Gaetano,POPOLO DELLA LIBERTA'
NEGRO Giovanna,LEGA NORD PADANIA
NICCO Roberto Rolando,MISTO
NICOLAIS Luigi,PARTITO DEMOCRATICO
NICOLUCCI Massimo,POPOLO DELLA LIBERTA'
NIRENSTEIN Fiamma,POPOLO DELLA LIBERTA'
NIZZI Settimo,POPOLO DELLA LIBERTA'
NOLA Carlo,POPOLO DELLA LIBERTA'
NUCARA Francesco,MISTO
OCCHIUTO Roberto,UNIONE DI CENTRO PER IL TERZO POLO
OLIVERI Sandro,MISTO
OLIVERIO Nicodemo Nazzareno,PARTITO DEMOCRATICO
OPPI Giorgio,UNIONE DI CENTRO
ORLANDO Andrea,PARTITO DEMOCRATICO
ORLANDO Leoluca,ITALIA DEI VALORI
